N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2021;entrées 2020;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
115521;DANAY;AUVERGNE / RHONE-ALPES;71 ROUTE DE L' ETALE;74080;La Clusaz;1767.0;74;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;313.0;12.0;139.0;3816.0;5021.0;-23.999203345947024;De 2 à 5 000 entrées;DUO;;NON;NON;;FIXE;NON;R;41.0;39.0;19.0;48.431685273790535;44.33811802232855;7.230196703880915;0.0;4.0;4.970760233918129;45.904524;6.425393;45.904524, 6.425393
121951;EDEN CINEMA;BOURGOGNE / FRANCHE-COMTE;2 RUE SAINT AGNAN;58086;Cosne-Cours-sur-Loire;9987.0;58;58301;Cosne-Cours-sur-Loire;11085.0;06-autres communes et unités urbaines;2.0;320.0;32.0;1097.0;28257.0;16472.0;71.54565322972317;De 20 à 30 000 entrées;EDEN CINEMA SARL;;OUI;E;;FIXE;NON;C;135.0;100.0;20.0;48.63104571221807;38.141760141518915;12.869376432275962;0.35781771398705425;32.0;9.367587343706028;47.409738;2.924065;47.409738, 2.924065
125424;SALLE EMILIEN MICHOUX;AUVERGNE / RHONE-ALPES;RUE PARMENTIER;69066;Cours;4459.0;69;69106;Cours-la-Ville;4459.0;06-autres communes et unités urbaines;1.0;189.0;27.0;84.0;1393.0;1177.0;18.3517417162277;Moins de 2000 entrées;UNION REG FEDERATIONS OEUVRES LAIQUES AUVERGNE RHONE ALPES;;NON;NON;;FIXE;NON;I;65.0;48.0;1.0;77.02127659574468;10.74468085106383;11.702127659574469;0.5319148936170213;16.0;25.957446808510635;46.100564;4.328791;46.100564, 4.328791
136201;AQUEDUC;AUVERGNE / RHONE-ALPES;CHEMIN DE LA LIASSE;69072;Dardilly;9265.0;69;00758;Lyon;1696765.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;271.0;21.0;70.0;3473.0;2949.0;17.76873516446253;De 2 à 5 000 entrées;UNION REG FEDERATIONS OEUVRES LAIQUES AUVERGNE RHONE ALPES;;NON;NON;;FIXE;NON;B;58.0;48.0;0.0;69.1855583543241;15.659109991603696;14.189756507136861;0.9655751469353484;24.0;42.44332493702771;45.810538;4.754801;45.810538, 4.754801
139283;CINEMA DE DIVONNE;AUVERGNE / RHONE-ALPES;AVENUE DES THERMES;01143;Divonne-les-Bains;10022.0;01;01203;Divonne-les-Bains (partie française);10022.0;06-autres communes et unités urbaines;1.0;131.0;31.0;309.0;4052.0;1182.0;242.8087986463621;De 2 à 5 000 entrées;SOCIETE TOURISTIQUE THERMALE ET HOTELIERE DE DIVONNE;VEO (Baron);NON;NON;;FIXE;NON;I;111.0;103.0;2.0;56.03424468378901;24.937862468931236;17.619442143054403;1.4084507042253522;39.0;22.72852803093068;46.350634;6.137102;46.350634, 6.137102
145792;ECULLY CINEMA;AUVERGNE / RHONE-ALPES;21, AV EDOUARD AYNARD;69081;Écully;18977.0;69;00758;Lyon;1696765.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;171.0;28.0;456.0;10905.0;8079.0;34.979576680282214;De 10 à 20 000 entrées;COMMUNE D ECULLY;;OUI;C;JP;FIXE;NON;B;115.0;77.0;1.0;72.51937492059459;11.929869139880573;13.988057425994155;1.5626985135306821;41.0;45.12768390293482;45.779053;4.778383;45.779053, 4.778383
172682;LE CHARDON;AUVERGNE / RHONE-ALPES;CSC ALLEES DES TILLEULS;03118;Gannat;6021.0;03;03202;Gannat;6021.0;06-autres communes et unités urbaines;1.0;131.0;29.0;615.0;6549.0;4792.0;36.665275459098496;De 5 à 10 000 entrées;COMMUNE DE GANNAT;VEO (Baron);OUI;E;JP;FIXE;NON;I;154.0;138.0;3.0;54.95256166982922;35.02846299810247;9.867172675521822;0.15180265654648956;70.0;22.22011385199241;46.097274;3.197027;46.097274, 3.197027
176722;LE CLUB;AUVERGNE / RHONE-ALPES;ROUTE TANINGES;74134;Les Gets;1254.0;74;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;220.0;10.0;107.0;2836.0;4676.0;-39.34987168520102;De 2 à 5 000 entrées;BAUCINE;;NON;NON;;FIXE;NON;R;35.0;34.0;22.0;44.37765205091937;41.76096181046676;13.861386138613863;0.0;2.0;1.6265912305516266;46.152434;6.657281;46.152434, 6.657281
182461;LES RHODOS;AUVERGNE / RHONE-ALPES;ESPACE GRAND BORNAND;74136;Le Grand-Bornand;2166.0;74;74101;Le Grand-Bornand;2166.0;06-autres communes et unités urbaines;1.0;199.0;13.0;144.0;3738.0;5233.0;-28.56869864322568;De 2 à 5 000 entrées;MC4  DISTRIBUTION;MC4 (Gardebosc);NON;NON;;FIXE;NON;I;69.0;68.0;19.0;44.37158469945356;44.78142076502733;10.846994535519126;0.0;13.0;6.229508196721312;45.935346;6.473902;45.935346, 6.473902
185002;REX;AUVERGNE / RHONE-ALPES;13 RUE ST JACQUES;38185;Grenoble;159855.0;38;38701;Grenoble;519681.0;04-Unités urbaines de 100 000 hbts ou plus;6.0;1009.0;32.0;6370.0;49420.0;27513.0;79.62417766146912;De 40 à 50 000 entrées;CINEMA REX;Adira;NON;NON;;FIXE;NON;C;76.0;70.0;71.0;29.964644090658272;56.77178067074043;11.037992274835993;2.2255829637653024;2.0;9.016778729230959;45.189425;5.728332;45.189425, 5.728332
185241;LE SCIALET;AUVERGNE / RHONE-ALPES;LES DOLOMITES;38186;Gresse-en-Vercors;399.0;38;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;154.0;31.0;57.0;1549.0;1756.0;-11.788154897494305;Moins de 2000 entrées;COMMUNE DE GRESSE EN VERCORS;;NON;NON;;FIXE;NON;R;51.0;45.0;0.0;53.36500395882818;37.05463182897862;9.58036421219319;0.0;9.0;19.002375296912113;44.900658;5.555056;44.900658, 5.555056
212450;VOX;BOURGOGNE / FRANCHE-COMTE;5 GRANDE RUE MAISON DIEU;21336;Laignes;696.0;21;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;66.0;30.0;93.0;1689.0;1285.0;31.439688715953306;Moins de 2000 entrées;PANORAMIC 21;;OUI;E;;FIXE;NON;R;86.0;69.0;0.0;83.98096748612213;6.582077716098335;8.009516256938937;1.4274385408406027;39.0;50.11895321173672;47.842504;4.365197;47.842504, 4.365197
