Appellation officielle,Dénomination principale,Secteur Public/Privé,Code postal,lat,lon
Ecole primaire Loulay,ECOLE PRIMAIRE PUBLIQUE,Public,17330,46.04456320106409,-0.5118796291995026
Ecole élémentaire Aulnay,ECOLE ELEMENTAIRE PUBLIQUE,Public,17470,46.02343137219446,-0.3493097469499416
Ecole élémentaire Archingeay,ECOLE ELEMENTAIRE PUBLIQUE,Public,17380,45.9293496039028,-0.7070105617545801
Ecole primaire Jules Ferry Bords,ECOLE PRIMAIRE PUBLIQUE,Public,17430,45.89604668333993,-0.7927303011133218
Ecole élémentaire Matha,ECOLE ELEMENTAIRE PUBLIQUE,Public,17160,45.86776510383165,-0.3141500319578028
Ecole élémentaire La Brousse,ECOLE ELEMENTAIRE PUBLIQUE,Public,17160,45.89112258588486,-0.36270052228496913
Ecole primaire Berneuil,ECOLE PRIMAIRE PUBLIQUE,Public,17460,45.64376517373626,-0.5995697614844645
Ecole primaire Meursac,ECOLE PRIMAIRE PUBLIQUE,Public,17120,45.64725258588559,-0.8077901896639009
Ecole maternelle St Julien de l'Escap,ECOLE MATERNELLE PUBLIQUE,Public,17400,45.93145895410777,-0.48880039782293955
Ecole élémentaire Agrippa d'Aubigné Pons,ECOLE ELEMENTAIRE PUBLIQUE,Public,17800,45.58112395080601,-0.5503001869832909
Ecole élémentaire Coulonges,ECOLE ELEMENTAIRE PUBLIQUE,Public,17800,45.60721045114918,-0.4270398986026895
Ecole élémentaire Marignac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17800,45.52244429517314,-0.4752803508267011
Ecole élémentaire Pierre de Ronsard Chaniers,ECOLE ELEMENTAIRE PUBLIQUE,Public,17610,45.7184218692549,-0.5573405806379101
Ecole élémentaire Préguillac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17460,45.669945433858686,-0.618449517613484
Ecole élémentaire Louis Pasteur Saintes,ECOLE ELEMENTAIRE PUBLIQUE,Public,17100,45.74759215382304,-0.6403098315687128
Ecole élémentaire Chadenac,ECOLE ELEMENTAIRE PUBLIQUE,Public,17800,45.548214908257414,-0.4450496954384317
Collège André Albert,COLLEGE,Public,17600,45.67659238092952,-0.9265906232656285
Collège Fernand Garandeau,COLLEGE,Public,17390,45.77831845212181,-1.1467997512718209
Etablissement régional d'enseignement adapté Théodore Monod,ETAB.REGIONAL ENSEIGNT ADAPTE,Public,17107,45.72929467843735,-0.6504494698610463
Lycée d'enseignement général et technologique agricole de Surgères,LEGT AGRICOLE,Public,17700,46.10807479781692,-0.776880072579619
